2026-07-07 23:00:03 [info     ] SLOMonitor initialized         threshold_ms=200.0 violation_window=30
2026-07-07 23:00:03 [info     ] Algorithm1Controller initialized cooldown=15 weight_step=10
2026-07-07 23:00:03 [info     ] HAProxyWeightAdjuster initialized backend=servers host=localhost port=19999
2026-07-07 23:00:03 [info     ] GRUClient initialized          base_url=http://localhost:8090
2026-07-07 23:00:03 [info     ] K8sScaler initialized          deployment=test-app-warm namespace=default
2026-07-07 23:00:03 [info     ] RoutingDaemon initialized      decision_interval=15 description='Static routing to K8s cluster only' scenario=s1-k8s-only use_algorithm=False use_predictions=False
2026-07-07 23:00:03 [info     ] Starting routing daemon        interval=15 scenario=s1-k8s-only
2026-07-07 23:00:03 [info     ] Weights updated                k3s=100 knative=0
2026-07-07 23:00:03 [info     ] Initial weights applied        k3s=100 knative=0
2026-07-07 23:10:35 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:10:50 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:11:05 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:11:20 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:11:35 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:11:50 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:12:05 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:12:20 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:12:35 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:12:50 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:13:05 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:13:20 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:13:35 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:13:50 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:14:05 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:14:20 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:14:35 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:14:50 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:15:06 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:15:21 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
