Model,RMSE,MAE,MAPE,RMSE %
Moving Avg (w=15),11.366227066203965,9.21492674774365,9.356021539706717,11.116344174616804
EMA (α=0.3),11.52944970945997,9.367889981210116,9.569601021581711,11.27597841990823
Moving Avg (w=5),11.776218575742469,9.63661971830986,9.855986086503414,11.517322151051234
Linear Regression,11.816923695203634,9.559498711993339,9.767366192287913,11.557132381390959
Naive (Last Value),15.164264887473601,12.445070422535212,12.739016584350042,14.830883340826295
Seasonal Naive (1h),18.939860344235775,15.608450704225351,15.469379986333982,18.523473530783242
